x,y,w,h,Cx,Cy,W,H,distance,angle,x_center,y2,y_low,angle_calculated
0.5778537052086552,0.5144406384519385,0.007763685193590563,0.022894949193338957,3106.5415192017304,1382.8164361588108,41.73757160074287,61.541623431695115,2400.0,30.0,418.54151920173035,1274.4127521253417,0.502993163855269,28.027333875115872
0.6201996939975559,0.518599647477545,0.007302167289077772,0.037529743508981,3334.1935549308605,1393.9958524196409,39.2564513460821,100.87995055214093,1600.0,45.0,646.1935549308605,1243.5641723042886,0.49983477572305446,43.27188983912012
0.746619,0.686915,0.215693,0.320903,4013.8237440000003,1846.4275200000002,1159.565568,862.587264,100.0,90.0,1325.8237440000003,410.2788479999999,0.5264635000000001,88.78284000000002
0.6621079999999999,0.532476,0.012667,0.067275,3559.4926079999996,1431.2954879999998,68.097792,180.83520000000001,900.0,60.0,871.4926079999996,1166.2869120000003,0.49883849999999996,58.35887999999997
0.5361393925905474,0.5196764896624447,0.005607678126818894,0.03431707298121288,2882.285374566783,1396.8904042126514,30.146877609778375,92.24429217350021,1800.0,15.0,194.28537456678305,1244.9874497005985,0.5025179531718383,13.01018133259708
0.694098,0.566205,0.025539,0.129606,3731.470848,1521.95904,137.297664,348.380928,500.0,75.0,1043.470848,991.850496,0.5014019999999999,69.87528
0.6955440000000002,0.54435,0.021739,0.088962,3739.244544000001,1463.2128,116.868864,239.129856,700.0,75.0,1051.244544000001,1105.222272,0.499869,70.39584000000006
0.7463539999999999,0.60975,0.035014,0.181304,4012.399103999999,1639.008,188.23526400000003,487.345152,300.0,90.0,1324.3991039999992,805.319424,0.5190980000000001,88.68743999999995
0.620011,0.53752,0.014621,0.077775,3333.1791359999997,1444.85376,78.602496,209.0592,800.0,45.0,645.1791359999997,1138.61664,0.4986325,43.20395999999998
0.6175866743892251,0.5196399595680468,0.014415177347645454,0.04564806160087748,3320.145961516474,1396.7922113189097,77.49599342094196,122.70198958315868,1400.0,45.0,632.145961516474,1229.856793889511,0.496815928767608,42.331202780121025
0.5565777368905244,0.6669733210671572,0.12695492180312784,0.27414903403863844,2992.161913523459,1792.8242870285187,682.5096596136152,736.9126034958601,200.0,15.0,304.16191352345913,526.7194112235511,0.5298988040478381,20.367985280588783
0.5602575896964118,0.7092916283348665,0.15087396504139827,0.35878564857405726,3011.94480220791,1906.575896964121,811.0984360625571,964.415823367066,100.0,30.0,323.94480220791,299.21619135234596,0.5298988040478378,21.69273229070826
0.7443929999999999,0.582084,0.029025,0.142542,4001.856767999999,1564.6417920000001,156.0384,383.152896,400.0,90.0,1313.8567679999992,931.7817599999998,0.5108130000000001,87.98147999999995
