Cx;Cy;W;H;Cx;Cy;W;H;Dist;Ang;Xc;Yc
0.5600685367558527;0.5207135079992097;0.004663061375918292;0.03640196299910434;3010.928453599464;1399.6779095018755;25.068617956936738;97.84847654159246;160.0;18.0;322.92845359946386;1239.3978522273283
0.51142;0.520085;0.00685;0.036096;2749.39392;1397.98848;36.8256;97.026048;170.0;0.0;61.39391999999998;1241.498496
0.6340078210656417;0.5138135617076293;0.002844764055164611;0.02369436390251156;3408.4260460488895;1381.1308538701076;15.293451560564948;63.69045016995108;240.0;45.0;720.4260460488895;1275.023921044917
0.6037678553824796;0.5182215545786839;0.005697388663919934;0.031942736443616705;3245.8559905362104;1392.9795387075023;30.629161457233565;85.86207556044171;180.0;34.0;557.8559905362104;1252.0894235122769
0.559209;0.517761;0.007656;0.034618;3006.3075839999997;1391.7415680000001;41.158656;93.053184;180.0;18.0;318.3075839999997;1249.73184
0.5646260000000001;0.541646;0.015433999999999998;0.07338;3035.4293760000005;1455.944448;82.97318399999999;197.24544;80.0;18.0;347.4293760000005;1133.432832
0.606445;0.577568;0.029865;0.142434;3260.24832;1552.502784;160.55424;382.862592;40.0;34.0;572.2483200000001;944.06592
0.606158;0.563315;0.023902;0.11346;3258.705408;1514.19072;128.497152;304.98048;50.0;34.0;570.7054079999998;1021.3190399999999
0.635187;0.519193;0.006606999999999999;0.039907;3414.7653119999995;1395.590784;35.519231999999995;107.270016;160.0;45.0;726.7653119999995;1238.774208
0.586162;0.59669;0.02833;0.177376;3151.2069119999996;1603.90272;152.30208000000002;476.786688;30.0;34.0;463.20691199999965;845.7039359999999
0.589131;0.632636;0.040882;0.238977;3167.168256;1700.525568;219.781632;642.370176;20.0;34.0;479.16825599999993;666.289344
0.558563;0.570031;0.017601;0.10382300000000001;3002.8346880000004;1532.2433279999998;94.622976;279.076224;50.0;18.0;314.83468800000037;1016.2185600000003
0.634578;0.5152509999999999;0.006799;0.04055899999999999;3411.491328;1384.9946879999998;36.551424000000004;109.02259199999997;180.0;45.0;723.4913280000001;1248.4940160000003
0.5585760000000001;0.585186;0.022193;0.129665;3002.9045760000004;1572.9799679999999;119.309568;348.53952;40.0;18.0;314.90457600000036;940.7502720000002
0.494488;0.6999959999999998;0.077967;0.32152500000000006;2658.367488;1881.5892479999995;419.15059199999996;864.2592000000002;10.0;0.0;-29.632512000000133;374.2811520000005
