x,y,w,h,Cx,Cy,W,H,distance,angle,x_center,y2,person,y_low,angle_rad
141.42135381698608,141.42135381698608,0.0626,0.24724000000000002,3415.485696,1722.3144960000002,336.5376,664.58112,200.0,45.0,727.4856960000002,633.3949439999997,6,0.23563799999999988,0.7853982
671.0314750671387,994.8451280593872,0.007505,0.047283,3236.8197120000004,1423.3497600000003,40.34688,127.096704,1200.0,34.0,548.8197120000004,1201.1018879999997,7,0.44683849999999986,0.5934119
707.1067690849304,707.1067690849304,0.011739999999999999,0.059863,3432.920064,1431.70944,63.114239999999995,160.911744,1000.0,45.0,744.9200639999999,1175.834688,6,0.43743849999999995,0.7853982
247.21360206604004,760.8452320098877,0.012637,0.076805,2901.3250559999997,1444.240896,67.93651200000001,206.45184,800.0,18.0,213.32505599999968,1140.533184,3,0.42430549999999995,0.31415927
223.6771583557129,331.6150426864624,0.016263,0.147698,3148.013568,1539.694464,87.429888,397.012224,400.0,34.0,460.01356799999985,949.799424,3,0.353348,0.5934119
279.5964479446411,414.518803358078,0.015534,0.119511,3144.63744,1499.949696,83.510784,321.245568,500.0,34.0,456.63743999999997,1027.4275200000002,3,0.38222750000000005,0.5934119
565.6854152679443,565.6854152679443,0.01064,0.064543,3407.4163200000003,1463.66976,57.20064,173.49158400000002,800.0,45.0,719.4163200000003,1137.584448,7,0.42320850000000004,0.7853982
223.6771583557129,331.6150426864624,0.021778,0.137603,3142.8203519999997,1549.736832,117.07852799999999,369.876864,400.0,34.0,454.82035199999973,953.324736,1,0.3546595,0.5934119
279.5964479446411,414.518803358078,0.012566,0.111127,3144.4976640000004,1510.9678079999999,67.554816,298.709376,500.0,34.0,456.49766400000044,1027.6775040000002,1,0.38232050000000006,0.5934119
247.21360206604004,760.8452320098877,0.011845,0.069357,2908.813824,1450.073856,63.67872,186.43161600000002,800.0,18.0,220.81382399999984,1144.710336,1,0.42585950000000006,0.31415927
1006.547212600708,1492.2676920890808,0.006733,0.036277,3267.005951999999,1397.4320639999999,36.196608000000005,97.512576,1800.0,34.0,579.0059519999991,1241.811648,6,0.46198350000000005,0.5934119
707.1067690849304,707.1067690849304,0.008745,0.057506,3309.772032,1425.019008,47.013119999999994,154.576128,1000.0,45.0,621.7720319999999,1185.692928,4,0.441106,0.7853982
0.0,800.0,0.011325,0.073225,2729.959679999999,1450.947456,60.8832,196.8288,800.0,0.0,41.959679999999025,1138.638144,8,0.4236005,0.0
185.41020154953003,570.6339240074158,0.016246,0.098799,3001.953024,1484.840448,87.338496,265.571712,600.0,18.0,313.9530239999999,1070.373696,8,0.3982045,0.31415927
